bidul_numero,raw_text,nom,lieu_raw,ville_raw,tarif_raw,nom_spectacle,artiste,style
92,"Festival TERIAKI avec Collectif Slang (Nu-jazz), La Danse du chien (soul-rock), Fanga (afro-beat), Iration steppas (dub), Bananas at the audience (rock noisy), Psykick Lyrikah (hip hop), Robert le Magnifik (électro hip hop), Projet cube (jazz électro dub), Radio Bomb (mix drum'n'bass), Montbizot, 19h, 5€ à 6€",Festival TERIAKI,,Montbizot,5€ à 6€,,La Danse du chien,soul-rock
92,"Festival TERIAKI avec Collectif Slang (Nu-jazz), La Danse du chien (soul-rock), Fanga (afro-beat), Iration steppas (dub), Bananas at the audience (rock noisy), Psykick Lyrikah (hip hop), Robert le Magnifik (électro hip hop), Projet cube (jazz électro dub), Radio Bomb (mix drum'n'bass), Montbizot, 19h, 5€ à 6€",Festival TERIAKI,,Montbizot,5€ à 6€,,Fanga,afro-beat
92,"Festival TERIAKI avec Collectif Slang (Nu-jazz), La Danse du chien (soul-rock), Fanga (afro-beat), Iration steppas (dub), Bananas at the audience (rock noisy), Psykick Lyrikah (hip hop), Robert le Magnifik (électro hip hop), Projet cube (jazz électro dub), Radio Bomb (mix drum'n'bass), Montbizot, 19h, 5€ à 6€",Festival TERIAKI,,Montbizot,5€ à 6€,,Iration steppas,dub
92,"Festival TERIAKI avec Collectif Slang (Nu-jazz), La Danse du chien (soul-rock), Fanga (afro-beat), Iration steppas (dub), Bananas at the audience (rock noisy), Psykick Lyrikah (hip hop), Robert le Magnifik (électro hip hop), Projet cube (jazz électro dub), Radio Bomb (mix drum'n'bass), Montbizot, 19h, 5€ à 6€",Festival TERIAKI,,Montbizot,5€ à 6€,,Bananas at the audience,rock noisy
92,"Festival TERIAKI avec Collectif Slang (Nu-jazz), La Danse du chien (soul-rock), Fanga (afro-beat), Iration steppas (dub), Bananas at the audience (rock noisy), Psykick Lyrikah (hip hop), Robert le Magnifik (électro hip hop), Projet cube (jazz électro dub), Radio Bomb (mix drum'n'bass), Montbizot, 19h, 5€ à 6€",Festival TERIAKI,,Montbizot,5€ à 6€,,Psykick Lyrikah,hip hop
92,"Festival TERIAKI avec Collectif Slang (Nu-jazz), La Danse du chien (soul-rock), Fanga (afro-beat), Iration steppas (dub), Bananas at the audience (rock noisy), Psykick Lyrikah (hip hop), Robert le Magnifik (électro hip hop), Projet cube (jazz électro dub), Radio Bomb (mix drum'n'bass), Montbizot, 19h, 5€ à 6€",Festival TERIAKI,,Montbizot,5€ à 6€,,Robert le Magnifik,électro hip hop
92,"Festival TERIAKI avec Collectif Slang (Nu-jazz), La Danse du chien (soul-rock), Fanga (afro-beat), Iration steppas (dub), Bananas at the audience (rock noisy), Psykick Lyrikah (hip hop), Robert le Magnifik (électro hip hop), Projet cube (jazz électro dub), Radio Bomb (mix drum'n'bass), Montbizot, 19h, 5€ à 6€",Festival TERIAKI,,Montbizot,5€ à 6€,,Projet cube,jazz électro dub
92,"Festival TERIAKI avec Collectif Slang (Nu-jazz), La Danse du chien (soul-rock), Fanga (afro-beat), Iration steppas (dub), Bananas at the audience (rock noisy), Psykick Lyrikah (hip hop), Robert le Magnifik (électro hip hop), Projet cube (jazz électro dub), Radio Bomb (mix drum'n'bass), Montbizot, 19h, 5€ à 6€",Festival TERIAKI,,Montbizot,5€ à 6€,,Radio Bomb,mix drum'n'bass
104,"Soirée organisée par le Collectif Baltringos + l'asso Teriaki qui présentent: TIM (post-rock/noîse) + DUBBERWARE (dub) + CASUALTY (électro-dub) + DJ TONIO DE La Casa (mix électro) + SANTA MACAIRO ORCHESTAR (speed yiddish) + MOTHAPHOCUS et MAO (lectures électroniques) + EARTH ON FAYA (hip hop) + CELINE (trapèze) + barbecue Résa obligatoire: baltringos@wanadoo.fr (places limitées) Parc Les Subsistances Le Mans, à partir de 18h, 8€",Soirée organisée par le Collectif Baltringos + l'asso Teriaki,Parc Les Subsistances,Le Mans,8€,,TIM,post-rock/noîse
104,"Soirée organisée par le Collectif Baltringos + l'asso Teriaki qui présentent: TIM (post-rock/noîse) + DUBBERWARE (dub) + CASUALTY (électro-dub) + DJ TONIO DE La Casa (mix électro) + SANTA MACAIRO ORCHESTAR (speed yiddish) + MOTHAPHOCUS et MAO (lectures électroniques) + EARTH ON FAYA (hip hop) + CELINE (trapèze) + barbecue Résa obligatoire: baltringos@wanadoo.fr (places limitées) Parc Les Subsistances Le Mans, à partir de 18h, 8€",Soirée organisée par le Collectif Baltringos + l'asso Teriaki,Parc Les Subsistances,Le Mans,8€,,DUBBERWARE,dub
104,"Soirée organisée par le Collectif Baltringos + l'asso Teriaki qui présentent: TIM (post-rock/noîse) + DUBBERWARE (dub) + CASUALTY (électro-dub) + DJ TONIO DE La Casa (mix électro) + SANTA MACAIRO ORCHESTAR (speed yiddish) + MOTHAPHOCUS et MAO (lectures électroniques) + EARTH ON FAYA (hip hop) + CELINE (trapèze) + barbecue Résa obligatoire: baltringos@wanadoo.fr (places limitées) Parc Les Subsistances Le Mans, à partir de 18h, 8€",Soirée organisée par le Collectif Baltringos + l'asso Teriaki,Parc Les Subsistances,Le Mans,8€,,CASUALTY,électro-dub
104,"Soirée organisée par le Collectif Baltringos + l'asso Teriaki qui présentent: TIM (post-rock/noîse) + DUBBERWARE (dub) + CASUALTY (électro-dub) + DJ TONIO DE La Casa (mix électro) + SANTA MACAIRO ORCHESTAR (speed yiddish) + MOTHAPHOCUS et MAO (lectures électroniques) + EARTH ON FAYA (hip hop) + CELINE (trapèze) + barbecue Résa obligatoire: baltringos@wanadoo.fr (places limitées) Parc Les Subsistances Le Mans, à partir de 18h, 8€",Soirée organisée par le Collectif Baltringos + l'asso Teriaki,Parc Les Subsistances,Le Mans,8€,,DJ TONIO DE La Casa,mix électro
104,"Soirée organisée par le Collectif Baltringos + l'asso Teriaki qui présentent: TIM (post-rock/noîse) + DUBBERWARE (dub) + CASUALTY (électro-dub) + DJ TONIO DE La Casa (mix électro) + SANTA MACAIRO ORCHESTAR (speed yiddish) + MOTHAPHOCUS et MAO (lectures électroniques) + EARTH ON FAYA (hip hop) + CELINE (trapèze) + barbecue Résa obligatoire: baltringos@wanadoo.fr (places limitées) Parc Les Subsistances Le Mans, à partir de 18h, 8€",Soirée organisée par le Collectif Baltringos + l'asso Teriaki,Parc Les Subsistances,Le Mans,8€,,SANTA MACAIRO ORCHESTAR,speed yiddish
104,"Soirée organisée par le Collectif Baltringos + l'asso Teriaki qui présentent: TIM (post-rock/noîse) + DUBBERWARE (dub) + CASUALTY (électro-dub) + DJ TONIO DE La Casa (mix électro) + SANTA MACAIRO ORCHESTAR (speed yiddish) + MOTHAPHOCUS et MAO (lectures électroniques) + EARTH ON FAYA (hip hop) + CELINE (trapèze) + barbecue Résa obligatoire: baltringos@wanadoo.fr (places limitées) Parc Les Subsistances Le Mans, à partir de 18h, 8€",Soirée organisée par le Collectif Baltringos + l'asso Teriaki,Parc Les Subsistances,Le Mans,8€,,MOTHAPHOCUS et MAO,lectures électroniques
104,"Soirée organisée par le Collectif Baltringos + l'asso Teriaki qui présentent: TIM (post-rock/noîse) + DUBBERWARE (dub) + CASUALTY (électro-dub) + DJ TONIO DE La Casa (mix électro) + SANTA MACAIRO ORCHESTAR (speed yiddish) + MOTHAPHOCUS et MAO (lectures électroniques) + EARTH ON FAYA (hip hop) + CELINE (trapèze) + barbecue Résa obligatoire: baltringos@wanadoo.fr (places limitées) Parc Les Subsistances Le Mans, à partir de 18h, 8€",Soirée organisée par le Collectif Baltringos + l'asso Teriaki,Parc Les Subsistances,Le Mans,8€,,EARTH ON FAYA,hip hop
104,"Soirée organisée par le Collectif Baltringos + l'asso Teriaki qui présentent: TIM (post-rock/noîse) + DUBBERWARE (dub) + CASUALTY (électro-dub) + DJ TONIO DE La Casa (mix électro) + SANTA MACAIRO ORCHESTAR (speed yiddish) + MOTHAPHOCUS et MAO (lectures électroniques) + EARTH ON FAYA (hip hop) + CELINE (trapèze) + barbecue Résa obligatoire: baltringos@wanadoo.fr (places limitées) Parc Les Subsistances Le Mans, à partir de 18h, 8€",Soirée organisée par le Collectif Baltringos + l'asso Teriaki,Parc Les Subsistances,Le Mans,8€,,CELINE,trapèze
116,"L'Asso Teriaki présente Les Escales Expérimentales avec BLEUBIR (hip hop) + CORONA RADIATA (slam) + ELECTROMECA (breakbea La Péniche Excelsior Allonnes 21h30, 6€ ), DJ, 30, 0€ 0€ h 0€, 21h 3€ Le Mans, derie, ans, DJ, Sound ck),",L'Asso Teriaki présente Les Escales Expérimentales,La Péniche Excelsior,Allonnes,6€,,BLEUBIRD,hip hop
116,"L'Asso Teriaki présente Les Escales Expérimentales avec BLEUBIR (hip hop) + CORONA RADIATA (slam) + ELECTROMECA (breakbea La Péniche Excelsior Allonnes 21h30, 6€ ), DJ, 30, 0€ 0€ h 0€, 21h 3€ Le Mans, derie, ans, DJ, Sound ck),",L'Asso Teriaki présente Les Escales Expérimentales,La Péniche Excelsior,Allonnes,6€,,CORONA RADIATA,slam
116,"L'Asso Teriaki présente Les Escales Expérimentales avec BLEUBIR (hip hop) + CORONA RADIATA (slam) + ELECTROMECA (breakbea La Péniche Excelsior Allonnes 21h30, 6€ ), DJ, 30, 0€ 0€ h 0€, 21h 3€ Le Mans, derie, ans, DJ, Sound ck),",L'Asso Teriaki présente Les Escales Expérimentales,La Péniche Excelsior,Allonnes,6€,,ELECTROMECA,breakbeat
122,"Soirée Escales Expérimentales de Teriaki avec SUBTITLE & THAVIUS & BECK + DIE BAISE + SEBASTIEN CASINO + PROJECT 202, La Péniche Excelsior 22h, 6€",Soirée Escales Expérimentales de Teriaki,La Péniche Excelsior,Allonnes,6€,,SUBTITLE & THAVIUS & BECK,
122,"Soirée Escales Expérimentales de Teriaki avec SUBTITLE & THAVIUS & BECK + DIE BAISE + SEBASTIEN CASINO + PROJECT 202, La Péniche Excelsior 22h, 6€",Soirée Escales Expérimentales de Teriaki,La Péniche Excelsior,Allonnes,6€,,DIE BAISE,
122,"Soirée Escales Expérimentales de Teriaki avec SUBTITLE & THAVIUS & BECK + DIE BAISE + SEBASTIEN CASINO + PROJECT 202, La Péniche Excelsior 22h, 6€",Soirée Escales Expérimentales de Teriaki,La Péniche Excelsior,Allonnes,6€,,SEBASTIEN CASINO,
122,"Soirée Escales Expérimentales de Teriaki avec SUBTITLE & THAVIUS & BECK + DIE BAISE + SEBASTIEN CASINO + PROJECT 202, La Péniche Excelsior 22h, 6€",Soirée Escales Expérimentales de Teriaki,La Péniche Excelsior,Allonnes,6€,,PROJECT 202,
124,"Teriaki propose: Apéro sonore sur le parvis de La Péniche Excelsior de 19h30 à 21h30 et à 22h MOUJIK (électro), à 23h ROBERT LE MAGNIFIQUE (électro hip-hop), à 0h30 COMPUTER TRUCK (électro circuyit bending), à 2h EDMOND LE PRINC VS KOSMIXEB (électro décalé-drum'n'bass), La Péniche Excelsior Allonnes 7€",Apéro sonore par l'asso Teriaki,La Péniche Excelsior,Allonnes,7€,,MOUJIK,électro
124,"Teriaki propose: Apéro sonore sur le parvis de La Péniche Excelsior de 19h30 à 21h30 et à 22h MOUJIK (électro), à 23h ROBERT LE MAGNIFIQUE (électro hip-hop), à 0h30 COMPUTER TRUCK (électro circuyit bending), à 2h EDMOND LE PRINC VS KOSMIXEB (électro décalé-drum'n'bass), La Péniche Excelsior Allonnes 7€",Apéro sonore par l'asso Teriaki,La Péniche Excelsior,Allonnes,7€,,ROBERT LE MAGNIFIQUE,électro hip-hop
124,"Teriaki propose: Apéro sonore sur le parvis de La Péniche Excelsior de 19h30 à 21h30 et à 22h MOUJIK (électro), à 23h ROBERT LE MAGNIFIQUE (électro hip-hop), à 0h30 COMPUTER TRUCK (électro circuyit bending), à 2h EDMOND LE PRINC VS KOSMIXEB (électro décalé-drum'n'bass), La Péniche Excelsior Allonnes 7€",Apéro sonore par l'asso Teriaki,La Péniche Excelsior,Allonnes,7€,,COMPUTER TRUCK,électro circuyit bending
124,"Teriaki propose: Apéro sonore sur le parvis de La Péniche Excelsior de 19h30 à 21h30 et à 22h MOUJIK (électro), à 23h ROBERT LE MAGNIFIQUE (électro hip-hop), à 0h30 COMPUTER TRUCK (électro circuyit bending), à 2h EDMOND LE PRINC VS KOSMIXEB (électro décalé-drum'n'bass), La Péniche Excelsior Allonnes 7€",Apéro sonore par l'asso Teriaki,La Péniche Excelsior,Allonnes,7€,,EDMOND LE PRINC VS KOSMIXEB,électro décalé-drum'n'bass
127,"Soirée TERIAKI: Escale expérimentale #7 avec dDAMAGE (electro hip *A hop) + RADIOINACTIVE (rap) + guests, La Péniche Excelsior 21h30, 7€",Soirée TERIAKI: Escale expérimentale #7,La Péniche Excelsior,Allonnes,7€,,dDAMAGE,electro hip hop
127,"Soirée TERIAKI: Escale expérimentale #7 avec dDAMAGE (electro hip *A hop) + RADIOINACTIVE (rap) + guests, La Péniche Excelsior 21h30, 7€",Soirée TERIAKI: Escale expérimentale #7,La Péniche Excelsior,Allonnes,7€,,RADIOINACTIVE,rap
131,"Soirée TERIAKI avec ZÔL (breakbeat), BIONIC ORCHESTRA 2.1, DAVID X (human beat box) K THE I???? (électro hip hop) + THAVIUS BECK (électro hip hop) + GUESTS, La Péniche Excelsior Allonnes 21h30, 7€",Soirée TERIAKI,La Péniche Excelsior,Allonnes,7€,,ZÔL,breakbeat
131,"Soirée TERIAKI avec ZÔL (breakbeat), BIONIC ORCHESTRA 2.1, DAVID X (human beat box) K THE I???? (électro hip hop) + THAVIUS BECK (électro hip hop) + GUESTS, La Péniche Excelsior Allonnes 21h30, 7€",Soirée TERIAKI,La Péniche Excelsior,Allonnes,7€,,"BIONIC ORCHESTRA 2.1, DAVID X",human beat box
131,"Soirée TERIAKI avec ZÔL (breakbeat), BIONIC ORCHESTRA 2.1, DAVID X (human beat box) K THE I???? (électro hip hop) + THAVIUS BECK (électro hip hop) + GUESTS, La Péniche Excelsior Allonnes 21h30, 7€",Soirée TERIAKI,La Péniche Excelsior,Allonnes,7€,,K THE I????,électro hip hop
131,"Soirée TERIAKI avec ZÔL (breakbeat), BIONIC ORCHESTRA 2.1, DAVID X (human beat box) K THE I???? (électro hip hop) + THAVIUS BECK (électro hip hop) + GUESTS, La Péniche Excelsior Allonnes 21h30, 7€",Soirée TERIAKI,La Péniche Excelsior,Allonnes,7€,,THAVIUS BECK,électro hip hop
133,"Teriaki présente ses Escales Expérimentales 11 (live électro) avec FULGEANCE (new Hip hop) + KRUMBLE (électro /breakcore) + REKICK (mus.large rec.), La Péniche Excelsior Allonnes 21h, 7€,",Teriaki présente ses Escales Expérimentales 11,La Péniche Excelsior,Allonnes,7€,,FULGEANCE,new Hip hop
133,"Teriaki présente ses Escales Expérimentales 11 (live électro) avec FULGEANCE (new Hip hop) + KRUMBLE (électro /breakcore) + REKICK (mus.large rec.), La Péniche Excelsior Allonnes 21h, 7€,",Teriaki présente ses Escales Expérimentales 11,La Péniche Excelsior,Allonnes,7€,,KRUMBLE,électro /breakcore
133,"Teriaki présente ses Escales Expérimentales 11 (live électro) avec FULGEANCE (new Hip hop) + KRUMBLE (électro /breakcore) + REKICK (mus.large rec.), La Péniche Excelsior Allonnes 21h, 7€,",Teriaki présente ses Escales Expérimentales 11,La Péniche Excelsior,Allonnes,7€,,REKICK,mus.large rec.
140,"Escales expérimentales #13 de Teriaki avec Fordamage (noise), gratuit (electro), Mein sohn william (Mathfolk) et Tonio de las casas (dj set), La Péniche Excelsior Allonnes 21h, 6€",Escales expérimentales #13 de Teriaki,La Péniche Excelsior,Allonnes,6€,,Fordamage,noise
140,"Escales expérimentales #13 de Teriaki avec Fordamage (noise), gratuit (electro), Mein sohn william (Mathfolk) et Tonio de las casas (dj set), La Péniche Excelsior Allonnes 21h, 6€",Escales expérimentales #13 de Teriaki,La Péniche Excelsior,Allonnes,6€,,gratuit,electro
140,"Escales expérimentales #13 de Teriaki avec Fordamage (noise), gratuit (electro), Mein sohn william (Mathfolk) et Tonio de las casas (dj set), La Péniche Excelsior Allonnes 21h, 6€",Escales expérimentales #13 de Teriaki,La Péniche Excelsior,Allonnes,6€,,Mein sohn william,Mathfolk
140,"Escales expérimentales #13 de Teriaki avec Fordamage (noise), gratuit (electro), Mein sohn william (Mathfolk) et Tonio de las casas (dj set), La Péniche Excelsior Allonnes 21h, 6€",Escales expérimentales #13 de Teriaki,La Péniche Excelsior,Allonnes,6€,,Tonio de las casas,dj set
142,"Escales expérimentales Teriaki # 15: SO SO MODERN (pop synthétique) + LA TERRE TREMBLE !!! (folk-rock), La Péniche Excelsior 21h, 7€",Escales expérimentales Teriaki # 15,La Péniche Excelsior,Allonnes,7€,,SO SO MODERN,pop synthétique
142,"Escales expérimentales Teriaki # 15: SO SO MODERN (pop synthétique) + LA TERRE TREMBLE !!! (folk-rock), La Péniche Excelsior 21h, 7€",Escales expérimentales Teriaki # 15,La Péniche Excelsior,Allonnes,7€,,LA TERRE TREMBLE !!!,folk-rock
144,"Escales expérimentales # 16 de Teriaki avec RAOUL SINIER (electronica), LILEA NARRATIVE (electro hip hop), PETER DIGITAL ORCHESTRA (electro paillettes), La Péniche Excelsior Allonnes 21h, 0€",Escales expérimentales # 16 de Teriaki,La Péniche Excelsior,Allonnes,0€,,RAOUL SINIER,electronica
144,"Escales expérimentales # 16 de Teriaki avec RAOUL SINIER (electronica), LILEA NARRATIVE (electro hip hop), PETER DIGITAL ORCHESTRA (electro paillettes), La Péniche Excelsior Allonnes 21h, 0€",Escales expérimentales # 16 de Teriaki,La Péniche Excelsior,Allonnes,0€,,LILEA NARRATIVE,electro hip hop
144,"Escales expérimentales # 16 de Teriaki avec RAOUL SINIER (electronica), LILEA NARRATIVE (electro hip hop), PETER DIGITAL ORCHESTRA (electro paillettes), La Péniche Excelsior Allonnes 21h, 0€",Escales expérimentales # 16 de Teriaki,La Péniche Excelsior,Allonnes,0€,,PETER DIGITAL ORCHESTRA,electro paillettes
147,"Escales expérimentales # 17 de Teriaki: Keff Joons (electro clash)+ Substance M (hip-hop)+ Debmaster (hip-hop electro) + Curse ov Dialect (hip-hop expérimental), La Péniche Excelsior Allonnes 21h30, 7€",Escales expérimentales # 17 de Teriaki,La Péniche Excelsior,Allonnes,7€,,Keff Joons,electro clash
147,"Escales expérimentales # 17 de Teriaki: Keff Joons (electro clash)+ Substance M (hip-hop)+ Debmaster (hip-hop electro) + Curse ov Dialect (hip-hop expérimental), La Péniche Excelsior Allonnes 21h30, 7€",Escales expérimentales # 17 de Teriaki,La Péniche Excelsior,Allonnes,7€,,Substance M,hip-hop
147,"Escales expérimentales # 17 de Teriaki: Keff Joons (electro clash)+ Substance M (hip-hop)+ Debmaster (hip-hop electro) + Curse ov Dialect (hip-hop expérimental), La Péniche Excelsior Allonnes 21h30, 7€",Escales expérimentales # 17 de Teriaki,La Péniche Excelsior,Allonnes,7€,,Debmaster,hip-hop electro
147,"Escales expérimentales # 17 de Teriaki: Keff Joons (electro clash)+ Substance M (hip-hop)+ Debmaster (hip-hop electro) + Curse ov Dialect (hip-hop expérimental), La Péniche Excelsior Allonnes 21h30, 7€",Escales expérimentales # 17 de Teriaki,La Péniche Excelsior,Allonnes,7€,,Curse ov Dialect,hip-hop expérimental
149,"Teriaki << No Data #1 "">: KAP BAMBINO (electro clash)+ ELECTRIC ELECTRIC (noise & dance) + DAT POLITICS (pop electronique) + LAZER CRYSTAL (rock du futur) + MAGIC BARBECUE (homme machine), S.Jean Carmet, Allonnes 20h30, 10/12€","Teriaki ""No Data #1""",Salle Jean Carmet,Allonnes,10/12€,,KAP BAMBINO,electro clash
149,"Teriaki << No Data #1 "">: KAP BAMBINO (electro clash)+ ELECTRIC ELECTRIC (noise & dance) + DAT POLITICS (pop electronique) + LAZER CRYSTAL (rock du futur) + MAGIC BARBECUE (homme machine), S.Jean Carmet, Allonnes 20h30, 10/12€","Teriaki ""No Data #1""",Salle Jean Carmet,Allonnes,10/12€,,ELECTRIC ELECTRIC,noise & dance
149,"Teriaki << No Data #1 "">: KAP BAMBINO (electro clash)+ ELECTRIC ELECTRIC (noise & dance) + DAT POLITICS (pop electronique) + LAZER CRYSTAL (rock du futur) + MAGIC BARBECUE (homme machine), S.Jean Carmet, Allonnes 20h30, 10/12€","Teriaki ""No Data #1""",Salle Jean Carmet,Allonnes,10/12€,,DAT POLITICS,pop electronique
149,"Teriaki << No Data #1 "">: KAP BAMBINO (electro clash)+ ELECTRIC ELECTRIC (noise & dance) + DAT POLITICS (pop electronique) + LAZER CRYSTAL (rock du futur) + MAGIC BARBECUE (homme machine), S.Jean Carmet, Allonnes 20h30, 10/12€","Teriaki ""No Data #1""",Salle Jean Carmet,Allonnes,10/12€,,LAZER CRYSTAL,rock du futur
149,"Teriaki << No Data #1 "">: KAP BAMBINO (electro clash)+ ELECTRIC ELECTRIC (noise & dance) + DAT POLITICS (pop electronique) + LAZER CRYSTAL (rock du futur) + MAGIC BARBECUE (homme machine), S.Jean Carmet, Allonnes 20h30, 10/12€","Teriaki ""No Data #1""",Salle Jean Carmet,Allonnes,10/12€,,MAGIC BARBECUE,homme machine
151,"Teriaki: MAD MAX vx MONTGOMERY (ciné-concert), S.Jean Carmet, Allonnes 21h, 7€",Teriaki,Salle Jean Carmet,Allonnes,7€,,MAD MAX vx MONTGOMERY,ciné-concert
158,"Teriakids: << Adventures in front of the tv set ""> (concert multimédia, à p. 6 ans), Espace Yvon Luby, Allonnes 16h, 5€ ⚫BIONIC ORCHESTRA (perf. arts numériques), Les Subsistances 18h30, gratuit",Teriakids,Espace Yvon Luby,Allonnes,5€,Adventures in front of the tv set,,concert multimédia
