jour;date;artiste;style_musical;lieu;ville;heure;tarif;autre
Di;21/06;Reflexion-causerie autour de la désobéissance + projections;l'Inventaire;MJC J. Prevert;14h;0€;
Ma;23/06;Dégage petit !;théâtre jeune public;Cultural Joel Le Theule;Sablé;20h30;9,5 à 13€;
Ma;23/06;Copirecup;spectacle;Théâtre P. Scarron;Le Mans;20h30;6€;
Me;24/06;Attention aux fessées;théâtre jeune public;Malle de Pandora;MJC Plaine du Ronceray;20h30;5€;
Ma;30/06;La mastification des morts;théâtre;MJC Ronceray;Le Mans;20h30;5/8€;
Ma;30/06;Il était une fois;spectacle;Utopium Théâtre;Esplanade du Bicentenaire;21h;un cadeau anniversaire (10 ans de tournée d'Utopium) ou 5€.
Ma;02/04/2006;Rubrique Cucaracha;inconnu;Le Carrera;Le Mans;inconnu;inconnu;Un grand merci aux participants et aux partenaires venus nombreux le 2 avril pour notre anniversaire. Ce fut une très belle journée. A bientôt pour de nouvelles aventures !
Je;07/07;ANAIS + KAAR KAAS SONN;chanson + rap;Salle 6 par 4;Entrammes;21h;7€;.
Me;13/07;STRUP X + DJ BEATSUCKER;techno jungle;Salle 6 par 4;Entrammes;21h;7€;.
Ve;22/07;MONTGOMERY + RILEY;rock;Salle 6 par 4;Entrammes;21h;7€;.
Ve;12/08;PERCUBABA + LA VENGEANCE DU TIGRE;ska, reggae;Salle 6 par 4;Entrammes;21h;12€;.
Sa;20/08;FANNY TASTIC + GUEST;rock + pop;Salle 6 par 4;Entrammes;21h;7€;.
Me;24/08;SANTA MACAIRO ORKESTAR;fanfare déjantée;Salle 6 par 4;Entrammes;21h;7€;.
Di;28/08;T'M'P'P;piano, percus;Salle 6 par 4;Entrammes;16h;5€;.
Ve;29/07;FESTIVAL LES 3 ELEPHANTS;varié;A Lassay-les-Châteaux;Lassay-les-Châteaux;00:24;0€;avec Amadou & Mariam + Ghiznu + Rokia Traoré + Antibalas + Arno + the Film + High Tone + Kwal + DJ Vadim + Gomm + Pauline Croze.
Ve;01/07;Israël Vibration + Le Maximum kouette + Rona hartner & DJ Click + Smooth + No Bluff Sound + D'ph;reggae, rock alternatif, électro-tzigane, électro-soul, afro breakbeat, chanson électro-pop;Festival au Foin de la Rue;St Denis de Gastines;20h;15€/19€;Un soir résa: 15€ / sur place: 19€.
Sa;02/07;Luke + Magyd Cherfi + Balkan beat box + Livin'soul + Iden + Polo;rock, chanson, soul reggae, électro rock, dub électro, chanson;Festival au Foin de la Rue;St Denis de Gastines;20h;23€/28€;Pass 2 soirs résa: 23€ / sur place 28€.
Sa;23/07;FESTIVAL LA NUIT VERTE;varié;A Jallais;Nogent-le-Retrou;18h30;14€ à 17€;avec La Ruda + K2R Riddim + Improvisators dub + Ahimsa.
Ve;22/Sa;23/07;FESTIVAL ART SONIC;varié;A Briouze;Briouze;00:43;0€;avec Tiken Jah Fakoly + Mass Hysteria + Lofofora + Svinkels + La Phaze + La Rumeur + Big Mama N&SK + Kingston Kitchen 809 + Masnada + Sexyop + Scenario rock + Okploide + Guns of brixton.
Ve;08/Sa;09/07;FESTIVAL LE CARREFOUR DU ROCK;varié;A L'Epinay Le Comte;L'Epinay Le Comte;00:00;16/20€ par soir et 28/36€ les 2 soirs;avec MATMATAH + RUDA + NO ONE IS INNOCENT + K2R RIDDIM + ETHS.
Ve;08/Sa;09/07;Festival du Thé Vert;swing manouche, ska, reggae, dub, electro;Théâtre de verdure;Nogent-le-Retrou;00:00;0€;.
Du;14/07 au 17/07;Festival Chauffeur dans la Nuit;varié;A Montmartin sur mer, sur la plage;Montmartin sur mer;00:00;14€/18€/45€;Prévente: un soir 14€/ forfait 36 euros, sur place: un soir 18€/ forfait 45 euros, jeudi: 7 euros, gratuit pour les - de 10 ans.
Je;14/07;Théâtre Blanche Aurore Céleste;varié;A Montmartin sur mer, sur la plage;Montmartin sur mer;00:00;0€;avec Serge Teyssot-Gay & Khaled Aljaraman.
Ve;15/07;Rachid Taha + Kerry James + Tagada Jones + Spoke Orchestra + Aerolot + IL Fulgarante + Jon Smith & Deborah + Vive Le Rouge;varié;A Montmartin sur mer, sur la plage;Montmartin sur mer;00:00;0€;.
Sa;16/07;Sole + Zurrubanda + Orange Blossom + Experience + Shane Cough + Zeta Cancri + Sofa + Miss Hélium;varié;A Montmartin sur mer, sur la plage;Montmartin sur mer;00:00;0€;.
Di;17/07;Horace Andy + Olli & the Bollywood Orchestra + Kaly Live Dub + Non Stop + Positive Roots Band + Gabié + None ID + The Elektrocution + V.J.;varié;A Montmartin sur mer, sur la plage;Montmartin sur mer;00:00;0€;.
Ve;01/07;POL'IN JAZZ BAND;Jazz;Le Terminus;Le Mans;21h30;gratuit;;
Ve;01/07;LES SUPREMES DINDES + LA GAILLARDE + AN LAH SHOUQUE + LES BREUVACHONS;variété;Quais de l'Anille;St Calais;20h;gratuit;8ème festival Soirs au Village
Ve;01/07;MATCHBOX;blues;Le Stan;Le Mans;21h30;0€;;
Sa;02/07;DANO HAIDER TRIO;blues;Le Mans;Le Mans;21h30;0€;;
Sa;02/07;NO ONE IS INNOCENT + WASHINGTON DEAD CATS + HIJODA;rock;Stade de la Pochetie;St Calais;15€ ou gratuit pour -12ans;8ème festival Soirs au Village
Sa;02/07;BROKEN STICK SOUND SYSTEM avec ZMK LION & TOMAWOK;reggae/dancehall;bar La Casa;Le Mans;4€;;
Je;07/07;KOUROUDWE;percu;PCV;Le Mans;21h30;0€;;
Ve;08/07;GRAND' MECQUE DES RURBOEFS avec BAJKA + LES THANATONAUTES + MENTAT ROUTAGE + SEBKHA-CHOTT + Cie CLAQU'ETC + GENSAKU ORCHESTRA + VOX OF AN INDUSTRIAL NOWHERE + boeuf et barbecue;musiques nomades, jazz expérimental, Mekanik Metal Disco, Claquettes, orchestre d'improvisation collective dingue, Free-industriel tambourrier;Reuquil;St Calais;02.43.78.04.97;5€
Ve;08/07;SISTER BREAK;soul/jazzy;bar le La Ré Do;Sillé le Guillaume;21h30;gratuit;;
Sa;09/07;Soirée jungle/drum'n'bass avec DJ SWEEK + GUEST;drum'n'bass;Tassillé;Tassillé;de 21h à 4h;4€, tél 06 20 89 88 80;;
Sa;09/07;Festival des Garennes avec LA CLASSE ORCHESTRE + VALENTIN + TONTON MONIK + OUTRAGE + SILYA;pop rock costik, rock festif, ska-rock, rock alternatif;Stade de Souligé-sous-Ballon;Souligé-sous-Ballon;19h / 4h;5€
Di;10/07;Soirée sound system avec MILITANT SOUND & BROKEN STICK;reggae, dancehall, dubplates;Le Backstage;Le Mans;4€;;
Me;13/07;Soirée surprise;varié;Le Barouf;Le Mans;22h à 4h;gratuit;;
Je;14/07;MILITANT SOUND SYSTEM;reggae;Le Backstage;Le Mans;21h;4€;;
Ve;15/07;RICHARD ACCART QUARTET;jazz;L'inventaire;Le Mans;21h;6€ à 9€;résa obligatoire
Sa;16/07;DJ LORD J;reggae;La Casa;Le Mans;21h30;0€;;
Je;21/07;DJ LAURENZO;salsa;le PCV;Le Mans;21h30;gratuit;;
Je;28/07;DJ GROOM;reggae;le PCV;Le Mans;21h30;gratuit;;
Ve;22/07;Festival Bén au Grand Lucé avec Bahiafro, Les Doigts de l'Homme, Yelema d'Abidjan, Kady Diarra, Bell Oeil, Santa Macairo Orkestar, Les Zetlaskars et la Trompida, Fénugrec Beat et Lasco;percu. brésiliennes, jazz manouche, chants et danses d'Afrique de l'Ouest, musique africaine, chants fr., yiddish, transe balkanique, rock festif, électrodub, dj;Grand Lucé;Grand Lucé;à partir de 19h30;10€ pour le vendredi soir et 12€ pour le samedi soir, 20€ pour le forfait 3 jours (soirées + conférences);;
Sa;23/07;Festival Bén au Grand Lucé avec Nomad's Land, Del Monte, Kouroudwe, Heleno dos 8 Baixos, Didier Super, Nomad's Land, Les Acrobates, Les Percuteur de l'a Beuce, Fénugrec Beat et Lasco, Mashiro, La Smala Familia, Soulfighters, Kix et Lien, Collectif MSP, Les Débris Collés;spectacle tzigane pour enfants, mus. trad. du Burkina Faso, musiques caruaru, jazz, musiques manouches, percussions brésiliennes, électrodub, quartet électrique, dub drum'n'bass, électrodub, rock tek, drun'n'bass;Grand Lucé;Grand Lucé;à partir de 15h00;10€ pour le vendredi soir et 12€ pour le samedi soir, 20€ pour le forfait 3 jours (soirées + conférences);;
Di;24/07;Festival Bén au Grand Lucé avec Marché paysan, forum associatif, conférences, Cochon Fraise, Les aventures de Gilbert, Delmonte, Humain à bord, Les Croquants, PREsKO;théâtre, marionnettes, théâtre et chanson, théâtre clownesque, chanson française;Grand Lucé;Grand Lucé;de 10h00 à 18h00;10€ pour le vendredi soir et 12€ pour le samedi soir, 20€ pour le forfait 3 jours (soirées + conférences);;
Ve;19/08;DJ DOUBLE FIRE;électro festive;le PCV;Le Mans;21h30;0€;;
Sa;27/08;Festival TERIAKI avec Collectif Slang, La Danse du chien, Fanga, Iration steppas, Bananas at the audiance, PsyKick Lyrick, Robert le Magnifik, Projet cube, Radio Bomb;Nu-jazz, Soul-rock, Afro-beat, Dub, Rock noisy, Hip hop, Electro hip hop, Mix drum'n'bass;Montbizot;Montbizot;19h;5€ à 6€;
Je;04/05/2006;LA GRANDE SOPHIE + YVAN HIO;pop rock;Le Chabada;Angers;20h45;18 à 22€;.
Je;04/05/2006;MAX ROMEO + 100 GR. DE TETES;reggae, ska;Le Chabada;Angers;20h45;12 à 18€;.
Me;10/05/2006;C2C + DJ RIZO + DJ MOON;hip hop;Le Chabada;Angers;20h45;8 à 12€;.
Ve;12/05/2006;SINIK;hip hop;Le Chabada;Angers;20h45;14 à 18€;.
Sa;13/05/2006;Nuit lesbienne, gay, bi, trans avec la Cie Gianni joseph + Anatomie Bouclousaire + DJ LP + DJ The Electronman;;Le Chabada;Angers;22h;10 à 15€;.
Ma;16/05/2006;GIPSY SWING;mus. manouche;Le Chabada;Angers;20h45;10 à 15€;.
Me;17/05/2006;CHEIKH LO + DJ FENUGREC BEAT;pop;Le Chabada;Angers;20h45;10 à 15€;.
Ve;12/05/2006;BRAIN DAMAGE;dub;Le Bar'ouf;Cholet;22h;5 à 6€;.
Ve;19/05/2006;SUPERBUTT;hardcore;Le Bar'ouf;Cholet;22h;3 à 4€;Plus d'info sur: www.lebarouf-cholet.com.
Sa;06/05/2006;PHILIPPE BOISCHOT chante Brassens;;Le Croque-Lune Café;Savigny sur Braye;22h;;.
Ma;16/05/2006;Scène Ouverte à partir de 21h;chanson francophone;Le Croque-Lune Café;Savigny sur Braye;21h;;.
Sa;20/05/2006;ENTRE CHIEN ET LOUP;;Le Croque-Lune Café;Savigny sur Braye;22h;;.
Sa;13/05/2006;KIM NOVAK;pop rock;L'Hamaca bar;Domfront;21h30;gratuit;.
Me;10/05/2006;KEZAKO;chanson jeune public;La Luciole;Alençon;17h;6€;tél: 02.33.26.53.72.
Sa;13/05/2006;ATELIER JAZZ DE L'ENM;jazz;La Luciole;Alençon;21h;6€;.
Sa;20/05/2006;ATELIER CHANT DE FRED ZAGATO;chant;La Luciole;Alençon;21h;6€;.
Sa;06/05/2006;En Attendant Carla...;jazz impro;La salle du foyer culturel;Laval;20h30;6 à 8€;.
Sa;06/05/2006;PERCUBABA + X MAKEENA + STRUP X;reggae, hip-hop drum'n'bass, techno rock;La salle polyvalente;Azé;20h;14 à 17€;.
Sa;13/05/2006;SLING 69 + IRIAN JAYA + WoW;punk rock, reggae, rock;La salle de l'entracte;René;20h;7€;.
Ve;12/05/2006;JOY OF GOSPEL + NEW GOSPEL FAMILY;;Festival «Bâtir sur le rock»;Laval;20h30;;www.durockalame.com.
Sa;13/05/2006;CARMENZ + MAKE UP YOUR MIND + KATO;rock;Festival «Bâtir sur le rock»;Laval;20h30;;www.durockalame.com.
Ve;12/05/2006;KALY LIVE DUB;électro dub;Le 6 par 4;Entrammes;21h;10 à 12€;.
Je;18/05/2006;ALBERT MAGISTER;chanson;Le 6 par 4;Entrammes;21h;0€;.
Me;24/05/2006;MANIAX + KWAL;hip-hop;Le 6 par 4;Entrammes;21h;6 à 8€;.
Ve;26/05/2006;KIEMSA;rock'n'roll;Le 6 par 4;Entrammes;21h;6 à 8€;.
Sa;20/05/2006;MORRO;chanson;Chez Philippe;Montenay;21h30;t.n.c.;.
Sa;20/05/2006;LE GROS CUBE;jazz;Auditorium J.Langé;Evron;20h30;5 à 11€;.
Ma;23/05/2006;ARCHIE SHEPP QUARTET + GUILLAUME BELLANGER TRIO;;Festival « Ateliers Jazz »;Meslay du Maine;20h30;20€;Salle socio-culturelle.
Me;24/05/2006;JUS DE BOSC;;Festival « Ateliers Jazz »;Meslay du Maine;20h30;0€;Salle socio-culturelle.
Je;25/05/2006;QUATUOR CALIENTE;;Festival « Ateliers Jazz »;Meslay du Maine;20h30;0€;Salle socio-culturelle.
Je;25/05/2006;FREDERIC COLLIGNON SOLO;;Festival « Ateliers Jazz »;Ruaillé-froid-fonds;11h30;0€;.
Je;25/05/2006;SAMIRA EL ALAOUI QUINTET;;Festival « Ateliers Jazz »;Bazougers-de-Chemeré;15h;0€;.
Ve;26/05/2006;SOLEX;;Festival « Ateliers Jazz »;Meslay du Maine;20h30;0€;Salle socio-culturelle.
Sa;27/05/2006;J.O.H. QUINTET;;Festival « Ateliers Jazz »;Le Bignon-du-Maine;11h30;0€;.
Sa;27/05/2006;SORIBA KOUYATE GROUP;;Festival « Ateliers Jazz »;Meslay du Maine;20h30;2€;Salle socio-culturelle.
Sa;06/05/2006;LE GROS CUBE + L'EQUIPE D'ARTIFICE + SHEN ROC + L.O.S;rock, rap;MPT Jean Moulin;Le Mans;20h00;;Stage Beatbox à Jean Moulin du 2 au 5 mai.
Ma;02/05;SWING MANOUCHE;manouche;Le Palais;Le Mans;19h;2€;gratuit
Me;03/05;SHAOLIN TEMPLE DEFENDERS;(soul funk sixties);Le Barouf;Le Mans;21h30;0€;gratuit
Je;04/05;LORD MAGIC & THE MIGHTY DRAKKARS;(rocksteady);Le Barouf;Le Mans;21h30;0€;gratuit
Je;04/05;DJ TITI;Le La Ré Do;Sillé le Guillaume;21h;0€;
Je;04/05;SEREIN GAXAR QUARTET;(jazz);Le Palais;Le Mans;21h;0€;gratuit
Sa;06/05;TOTOSH’N’KO;(ambiance troquet);Bar Le Havre;Le Mans;21h;0€;
Sa;06/05;Soirée mix avec DJ DOUBLE FIRE & LE FROG;Le Pilier Rouge;Le Mans;19h;0€;
Sa;06/05;Soirée gothique avec DJ ETRANGE ANEMIE;Le Backstage;Le Mans;21h à 2h;3€;conso
Sa;06/05;JERICHO FROM IRIE ITES;(reggae);Le Barouf;Le Mans;21h30;0€;gratuit
Ma;09/05;Apéro concert surprise;Le Palais;Le Mans;19h à 21h;0€;gratuit
Me;10/05;Apéro concert avec C. DUALAIN;(blues, guitare,voix);Le Palais;Le Mans;19h à 21h;0€;gratuit
Je;11/05;CHRISTIAN D’ASFELD TRIO;(groove);Bar Le Palais;Le Mans;22h;0€;gratuit
Ve;12/05;VAGUEMENT LA JUNGLE;(ch. fr.);Salle Jean Carmet;Allonnes;21h;10-17€;
Ve;12/05;SILLER TASSIE;(folk irlandais);Les Filo Folie’s;Le Mans;22h;5€
Ve;12/05;GATECHIEN;(duo basse-batterie pos punk);Le Barouf;Le Mans;21h30;0€;
Ve;12/05;Set Electro Jazz avec DJ SWEED + CHRISTIAN BRUN + RICHARD ROUX;Centre F.Rabelais;Changé;20h30;4€;tél 02 43 40 13 04
Ve;12/05;SISTER BREAK;(saoul);Le La Ré Do;Sillé;21h30;0€;
Sa;13/05;Soirée CROSSOVER;(drum’n’bass);Péniche Excelsior;Allonnes;22h;5€
Sa;13/05;IVAN MILHET ET L’ORCHESTRE CRESCENDO;(musique classique);Centre Culturel Joël Le Theule;Sablé;20h30;9,5 à 19€;
Sa;13/05;KELLEM;(rock);Le Pilier Rouge;Le Mans;21h;0€;
Sa;13/05;BOMBES 2 BAL;(fiesta toulousaine);Centre François Rabelais;Changé;20h30;6 à 12€;
Sa;13/05;LA BANDA LOCOS;(salsa) + DJ LA FIERA HABANA;Place des Comtes de Maine;Le Mans;20h;0€;
Sa;13/05;BAL folk avec LA PIE QUI COUETTE + CELTA 4;Espace Culturel;Scealia;Sargé Les Le Mans;20h;4 à 7€
Lu;15/05;Apéro concert avec DAVE GOLITIN SOLO;(guitare);Le Palais;Le Mans;19h à 21h;0€;gratuit
Je;18/05;DAVID GARCIA TRIO;(flamenco/manouche);Le Palais;Le Mans;22h;0€;
Je;18/05;Mix de CASUALTY;(sortie album);Le Barouf;Le Mans;21h30;0€;
Je;18/05;HENRI GABRIEL;(piano bar);Les Filo Folie’s;Le Mans;21h;0€;
Ve;19/05;ANKATA;(musique africaine);Péniche Excelsior;Le Mans;21h;8€;
Ve;19/05;SOUAD MASSI;(musique du monde);Centre Culturel Joël Le Theule;Sablé;20h30;9,5 à 22€;
Sa;20/05;FANFARAI;(m. du monde);Place République;Sablé;10h30;0€;
Sa;20/05;ZIYARA;(m. du monde);Ecuries du Château;Sablé;20h30;9,5-13€;
Sa;20/05;Soirée dîner-spectacle;(show transformiste);Les Filo Folie’s;Le Mans;20h;sur réservation au 02 43 86 11 39;
Sa;20/05;Concerts de soutien à l’Asso « Serrons les poings »;pas la ceinture;avec CHEENNE DE VIE;(ch. & Cie);+ JEREVKA TUMBEZ ASKI;(new age);+ ANES & BATEAUX;(stoner préfants);+ JANKRISS;(asian/baghra mix);Le Barouf;Le Mans;21h;0€;
Di;21/05;DUODECENCE;(ch. fr.);salle Xérès;Torcé en Vallée;15h;10€ sur résa/13€ sur place;tél 02 43 29 19 36
Lu;22/05;Apéro concert MAIA;(jazz blues);Le Palais;Le Mans;19h à 21h;0€;gratuit
Je;25/05;DAVE GOLITIN SOLO;(guitare) + Scène ouverte aux musiciens;Le Palais;Le Mans;22h;0€;gratuit
Lu;29/05;Apéro concert avec CEDRIC THIMON PROJECT;Le Palais;Le Mans;19h à 21h;0€;gratuit
Me;31/05;Apéro concert avec CGT TRIO;Le Palais;Le Mans;19h à 21h;0€;gratuit
Ma;02/05;DR ISRAEL + BRAIN DAMAGE;(reggae/dub);Bateau Ivre;Tours;8/14€;
Me;10/05;MARTIN RAPENNEAU;(chanson);Bateau Ivre;Tours;10/15€;
Je;11/05;LA CAGE AUX FOUS;(impro délirante musicale/théâtre);Bateau Ivre;Tours;8€;
Ma;16 au Je;18/05;«Bienvenue à la capitale»;(théâtre);Bateau Ivre;Tours;15/20€;
Me;31/05;Soirée « pestaque » PERMIS DE JOUER avec Créatures Cie + LX + Cerisette;Bateau Ivre;Tours;6€;
Je;04/05;LORENEY BLUES BAND;(rhythm n’ blues/gospel/jazz);3 Orfèvres;Tours;6€;
Je;11/05;Tremplin musical;(3 jeunes groupes);3 Orfèvres;Tours;4€;
Je;18/05;EMILE PYLAS & RONAN RONAN;(ch.fr.);3 Orfèvres;Tours;5€;
