jour;date;artiste;style_musical;lieu;ville;heure;tarif;autre
;;;;;;;;Ve 08 / Sa 09/07 : FESTIVAL LE CARREFOUR DU ROCK avec MATMATAH + RUDA + NO ONE IS INNOCENT + K2R RIDDIM + ETHS, Ve à 19h, Sa à 17h, 16/20€ par soir et 28/36€ les 2 soirs Dans l'Eure-et-Loir (28) : * Théatre de verdure, Nogent-le-Retrou, tél : 02.37.53.40.56
;;;;;;;;Ve 08/Sa 09/07 : Festival du Thé Vert avec swing manouche, ska, reggae, dub, electro. Dans la Manche (50) : + À Montmartin sur mer, sur la plage tél : 02.33.07.91.91 Du 14 au 17/07 : Festival Chauffer dans la noirceur avec
;;;;;;;;Je 14 : Théâtre Blanche Aurore Céleste, Serge Teyssot-Gay & Khaled Aljaramani, Présidentchirac
;;;;;;;;Ve 15: Rachid Taha, Kery James, Tagada Jones, Spoke Orkestra, Aerôflôt, IL Fulgurante, Jon Smith & Deborah, Vive Le Rouge
;;;;;;;;Sa 16: Sole, Zurribanda, Orange Blossom, Experience, Shane Cough, Zeta Cancri, Sofa, Miss Hélium
;;;;;;;;Di 17 : Horace Andy, Olli & the Bollywood Orchestra, Kaly Live Dub, Non Stop, Positive Roots Band, Gablé, None ID, The Elektrocution + V.J. Tarifs: Prévente: un soir 14€/ forfait 36 euros ,sur place: un soir 18€/ forfait 45 euros jeudi: 7 euros, gratuit pour les —:de 10 ans En juillet, au Palais (Le Mans), concerts off. Les zicos sont les bienvenus pour des petites soirées sympas...
;;;;;;;;Association Les Arts Services 2 bis, rue Bigot 72000 LE MANS 02 43 84 72 54 lebidul@ouvaton.org www.les-arts-services.ouvaton.org LA CASA CAFE - CONCERT 4 RUE DES MAILLETS 72000 LE MANS 0243 823526 Résidence tous les mardis soirs de 21h30 à 23h30 du groupe THE POLAROIDS (rock, soul) gratuit.
;;;;;;;;Dicton du mois «En juillet-août, trace ta route ! » Rubrique Cucaracha « Cet été, Manu et Bruno vont en t'nir une couche ! » Le bidul est tiré à + de 3000 exemplaires Ne pas jeter sur la voie publique Théâtre - Humour - Danse - Contes
;;;;;;;;Ve 08-Sa 09/Di 10/07 : « Cabaret de Quat'sous » (théâtre musical), par la Cie Comme la Lune, L'Inventaire, 21h, 6€ à 9€, résa obligatoire En bref : 7 Du 02/07 au 25/08, les soirs d'été en centre ville et dans les quartiers du Mans proposent du théâtre, cirque, concerts, cinéma... Gratuit, rens. au 02.43.47.3657 > Du 08/07 au 10/07, Festival Les Affranchis, théâtre de rue à la Flèche. Rens. Le Carroi 02.43.94.08.99 Fes = 5 MERCI À TOUS CEUX QUI SONT PASSÉS NOUS VOIR AU FESTIVAL JAM À LA MAISON AINSI QU'À TOUS CEUX QUI NOUS ONT REMIS DES DESSINS ET TEXTES. J'ESPÈRE QUE VOUS AVEZ PASSÉ UNE AUSSI BONNE SOIRÉE QUE NOUS...A BIENTÔT POUR LA 1OOE DU BIDUL, À SUIVRE POUR AVRIL 2006 ET SURTOUT À NE PAS MANQUER !I1!
;;;;;;;;Samedi 02/07 à la MJC Prévert : NB: les participants à la soirée peuvent apporter un témoignage de ce que la MJC représente pour eux, un gâteau ou éventuellement leur instrument de musique... Edité par l'Association Les Arts Services : SAMEDI O2 JUILLET 2005 a «ILest grand ft Aeralhimerlesétniles » EXPOSITION, 100 VISAGES POUR SAUVER PREVERT IMPRO GENSAKU ORCHESTRA & JAM SPECTACLE BOTANE de KARE LUDOVIC CONCERTS KARTEL DES GENS BIEN - YPSILON - MAP - YARDBEAT DJ SONIC (Radio FG)- B CHAN WLLY GATOR -MR BEE SAILOR PALMER- FRA DOUBLE FIRE - K.POERA +happening & guest … de 18h00 à 04h00 jm Soïée à niiive du Comité de soutien à la MJC Prévert ee] >> fr MJC Jacques Prévert- 97 Grande Rue - Veux Mans 77702 49 24 7969 ==ZWwWwMKPEVELCOM
;;;;;;;;un peu plus loin … Dans la Mayenne (53) : * Salle 6 par 4, Entrammes , tél : 02.43.90.74.19
;;;;;;;;Je 07/07 : ANAIS + KAAR KAAS SONN (chanson + rap), 21h, 7€
;;;;;;;;Me 13/07 : STRUP X + DJ BEATSUCKER (techno jungle), 21h, 7€
;;;;;;;;Ve 22/07 : MONTGOMERY + RILEY (rock), 21h, 7€
;;;;;;;;Ve 12/08 : PERCUBABA (ska, reggae) + LA VENGEANCE DU TIGRE A 2 TETES (techno), 21h, 12€
;;;;;;;;Sa 20/08 : FANNY TASTIC (rock) + GUEST (pop), 21h, 7€
;;;;;;;;Me 24/08 : SANTA MACAIRO ORKESTAR (fanfare déjantée), 21h, 7€
Di;28/08/2005;T'MP.P.;piano, percus;16h;5€ * A Lassay-les-Chäteaux;;tél : 02.43.04.00.24;
;;;;;;;;Ve 29-Sa 30/07 : FESTIVAL LES 3 ELEPHANIS avec Amadou &
;;;;;;;;Mariam + Ghinzu + Rokia Traoré + Antibalas + Arno + the Film + High Tone + Kwal + DJ Vadim + Gomm + Pauline Croze, … Eestiallau Éoin do la Ru9
;;;;;;;;Vendredi 1° juillet (20h) : Israël Vibration (reggae), Le Maximum kouette (rock altematif), Rona hartner & DJ Click (électro-tzigane), Smooth (électro-soul), No bluff sound (afro breakbeat), D'elph (chanson électro-pop).
;;;;;;;;Luke (rock), Magyd Cherfi (chanson), Balkan beat box (inclassable), Livin’soul (soul reggae), Idem (dub électro rock), Polo (chanson). Tarifs: Un soir résa : 15€ /.sur place : 19€ Pass 2 soirs résa : 23€/ sur place 28€ Dans le Maine-et-Loire (49) : * À Jallais, tél : 06.71.22.67.16
;;;;;;;;Sa 23/07 : FESTIVAL LA NUIT VERTE présenté par l'ASFO avec La Ruda + K2R Riddim + Improvisators dub + Ahimsa...18h30, 14€ à 17€ Dans l'Orne (61) : * À Briouze, tél : 02.33.66.71.43
;;;;;;;;Ve22/Sa23/07 : FESTIVAL ART SONIC avec Tiken Jah Fakoly + Mass Hysteria + Lofofora + Svinkels + La Phaze + La Rumeur + Big Mama + N&SK + Kingston Kitchen 809 + Masnada + Sexypop + Scenario rock + Okploide + Guns of brixton. * A L'Epinay Le Conte, tél : 02.33.38.72.63
;;;;;;;;Ve 08 / Sa 09/07 : FESTIVAL LE CARREFOUR DU ROCK avec MATMATAH + RUDA + NO ONE IS INNOCENT + K2R RIDDIM + ETHS, Ve à 19h, Sa à 17h, 16/20€ par soir et 28/36€ les 2 soirs Dans l'Eure-et-Loir (28) : * Théatre de verdure, Nogent-le-Retrou, tél : 02.37.53.40.56
;;;;;;;;Ve 08/Sa 09/07 : Festival du Thé Vert avec swing manouche, ska, reggae, dub, electro. Dans la Manche (50) : + À Montmartin sur mer, sur la plage tél : 02.33.07.91.91 Du 14 au 17/07 : Festival Chauffer dans la noirceur avec
;;;;;;;;Je 14 : Théâtre Blanche Aurore Céleste, Serge Teyssot-Gay & Khaled Aljaramani, Présidentchirac
;;;;;;;;Ve 15: Rachid Taha, Kery James, Tagada Jones, Spoke Orkestra, Aerôflôt, IL Fulgurante, Jon Smith & Deborah, Vive Le Rouge
;;;;;;;;Sa 16: Sole, Zurribanda, Orange Blossom, Experience, Shane Cough, Zeta Cancri, Sofa, Miss Hélium
;;;;;;;;Di 17 : Horace Andy, Olli & the Bollywood Orchestra, Kaly Live Dub, Non Stop, Positive Roots Band, Gablé, None ID, The Elektrocution + V.J. Tarifs: Prévente: un soir 14€/ forfait 36 euros ,sur place: un soir 18€/ forfait 45 euros jeudi: 7 euros, gratuit pour les —:de 10 ans En juillet, au Palais (Le Mans), concerts off. Les zicos sont les bienvenus pour des petites soirées sympas...
;;;;;;;;Vos concerts au Mans et environs
Ve;01/07/2005;POL'IN JAZZ BAND;;Le Terminus;Le Mans;21h3;0, gratuit;
Ve;01/07/2005;LES SUPREMES DINDES + LA GAILLARDE + AN LAH SHOQUE + LES BREUVACHONS;;Quais de l'Anille;St Calais;;20h, gratuit;
Ve;01/07/2005;MATCHBOX;blues;Le Stan;Le Mans;21h30;0€;
Sa;02/07/2005;DANO HAIDER TRIO;blues;Le Stan;Le Mans;21h30;0€;
Sa;02/07/2005;NO ONE IS INNOCENT + WASHINGTON DEAD CATS + HIJODATA;;Stade de la Pocherie;St Calais;20h30;15€ ou gratuit pour -12ans;
Sa;02/07/2005;ZMK LION & TOMAWOK;Reggae/Dancehall;bar La Casa;Le Mans;;4€;
Je;07/07/2005;KOUROUDWE;percus;PCV;Le Mans;21h30;0€;
;;;;;;;;Ve 08/07 :GRAND' MECQUE DES RURBOEUFS avec BAJKA (musiques nomades) + LES THANATONAUTES (jazz) + MENTAT ROUTAGE (jazz expérimental) + SEBKHA-CHOTT (Mekanik Metal Disco) + Cie CLAQU'ETC (Claguettes) + GENSAKU ORCHESTRA (orchestre d'improvisation collective dirigée) + VOX OF AN INDUSTRIAL NOWHERE (Free-industriel tambourrier) + bœuf et barbecue, Requeil, 5€ (rens. 02.43.78.04.97)
;;;;;;;;Ve 08/07 : SISTER BREAK (soul jazzy), bar le La Ré Do, Sillé le Guillaume 21h30, gratuit
Sa;09/07/2005;DJ SWEEK + GUEST;;Tassillé;de 21h à 4h;;4€, tél 06 20 89 88 80;
;;;;;;;;Sa 09/07 : Festival des Garennes avec LA CLASSE ORCHESTRE + VALENTIN (pop rock accoustik) + TONTON MONIK (rock festif) + OUTRAGE (ska-rock) + SILYA (rock alternatif), Stade de Souligné- sous-Ballon, 19h / 4h, 5€
Di;10/07/2005;MILITANT SOUND & BROKEN STICK;reggae, dancehall, dubplates;Le Backstage;Le Mans;;4€;
;;;;;;;;Me 13/07 : Soirée surprise, Le Barouf, de 22h à 4h, gratuit
Je;14/07/2005;MILITANT SOUND SYSTEM;;Le Backstage;Le Mans;21h;4€;
;;;;;;;;Ve 15-Sa 16/07 : RICHARD ACCART QUARTET (jazz), L'inventaire, 21h, 6€ à 9€, résa obligatoire.
Sa;16/07/2005;DJ LORD J;reggae;La Casa;Le Mans;21h30;0€;
;;;;;;;;Je 21/07 : DJ LAURENZO (salsa }, le PCV, Le Mans, 21h30, gratuit
Je;28/07/2005;DJ GROOM;reggae;le PCV;Le Mans;21h30;gratuit > fèp de19n20) Bahiafro (percu. brésiliennes), Les Doigts de l'Homme Gazz manouche), Yelemba d’Abidjan (percu., chants ei danses d'Afrique de l'Ouest), Kady Diarra (musique africaine), Bell Œïl (chans. fr), Santa Macairo Orkestar (speed yiddish, transe balkanique), Les Zetlaskars et la Trompida (rock festif, Lôbe Radiant Dub System (électrodub), Fenugrec Beat (dj). > SAMEDI 23 JUILLET 2005 (à partir de 15h00) Nomad’s Land (spectacle tzigane pour enfants), Del Monte (ch. fr), Kouroudwé (mus. trad. du Burkina Faso), Heleno dos 8 Baixos (caruaru), Didier Super (ch. fr), Nomad's Land (musiques tziganes), Caragoss (jazz manouche), Les Acrobates (ch fr), Les Percuterreux d'la Beauce (percussions brésiliennes), Fenugrec Beat et Lasco (Dj et V), Mashiro (quartet électrique), La Smala Familia (dub drum'n'bass), Soulfighters (électrodub), Kix et Lieng (Collectif MSP - hard tek), Les Débris Collés (drun'n'bass). > DIMANCHE 24 JUILLET (de 10h00 à 18h00);
;;;;;;;;Marché paysan, forum associatif, conférences « Cochon Fraise » par le Théâtre Billenbois (marionnettes), « Les aventures de Gilbert » par Gilbert (théâtre et chanson), Delmonte (ch. fr), « Humain à bord » par Gégé (théâtre clownesque), Les Croquants (ch. fr.), PReSKO (chanson française). Tarifs : 10 € pour le vendredi soir et 12 € pour le samedi soir 3 euros pour les conférences le dimanche 20 € pour le forfait 3 jours (soirées + conférences)
Ve;19/08/2005;DJ DOUBLE FIRE;électro festive;le PCV;21h30;;0€;
Sa;27/08/2005;DJ LAURENZO;salsa;le PCV;Le Mans;21h30;0€;
Sa;27/08/2005;Collectif Slang;Nu-jazz;La Danse du chien (soul-rock);Fanga (afro-beat);;Iration steppas (dub), Bananas at the audience (rock noisy), Psykick Lyrikah (hip hop), Robert le Magnifik (électro hip hop), Projet cube (jazz électro dub), Radio Bomb (mix drum'n'bass), Montbizot, 19h, 5€ à 6€;
