initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
"tu","Superforma",,"Vendredi 2","20h","L'Oasis",,"23 à 30€","c",,"pierre de maere + jean castel","pop",,,,,,,,,,,"https://superforma.fr/agenda/pierre-de-maere-jean-castel?fbclid=IwAR18YjYfcZOtuFhOF-5HIcgcEdY4OTX1sOQt7n6PlH4DSZ6N3VSSc756z5M",,,
"tu",,,"Vendredi 2","21h","Le Barouf",,0 €,"c",,"alright mela","trio Electro Gnawa",,,,,,,,,,,,,,
"tu",,,"Vendredi 2","21h","Le Zoo",,"au chapeau","c",,"Des mots a mon mouchoir","ch. fr.",,,,,,,,,,,,,,
"ce",,,"Vendredi 23","21h","Blue Zinc",,"au chapeau","c",,"Lega'si","cover pop",,,,,,,,,,,,,,
"tu",,,"Vendredi 23","20h30","Brasserie Septante Deux",,"prix libre","c",,"Molto Morbidi","weird pop/le mans",,"Sunna Margret","weird pop/islande",,,,,,,,,,,
"tu",,,"Vendredi 23","21h","Chez Marcelle",,0 €,"c",,"bunzen","bass music, techno, house italo",,,,,,,,,,,,,,
"tu","Superforma",,"Vendredi 23","l","L'Alambik MJC Ronceray",,"complet","c",,"TÉTÉ + YSÉ","pop",,,,,,,,,,,,,,
"tu",,,"Vendredi 23","20h","Le Lapin Blanc",,0 €,"c",,"ELI' JAZZ trio","jazz swing",,,"Jam Session",,,,,,,,,,,
"tu",,,"Vendredi 23","20h30","Le Lézard",,"prix libre","c",,"Malboro bled","free jazz-noise",,"mange ferraille","kraut-noise",,,,,,,,,,,
"tu",,,"Vendredi 23","21h","Le Zoo",,"au chapeau","c",,"Albahaca","jazz latino ch. fr.",,,,,,,,,,,,,,
"ce",,,"Vendredi 9","21h","Blue Zinc",,"au chapeau","c",,"Darklub Music","Upgrade project",,,,,,,,,,,,,,
"tu",,,"Vendredi 9","21h","Chez Marcelle",,0 €,"c",,"alinan","EBM Italo",,,,,,,,,,,,,,
"tu","Blue Dog Club","techno all night long","Vendredi 9","23h-6h","Club La Suite 72",,"tnc","c",,"BXTR + KOSZMAR + REIZEN BUNTER","techno club",,,,,,,,,,,,,,
"tu","Salon de musique Gnaoua",,"Vendredi 9","20h","CPFI",,"prix libre","c",,"awang (LAHSAN AMRANI, EL MEHDI DEBBAGH & REMMANE ILYAS)","musique gnaoua",,,,,,,,,,,"https://www.cpfi-lemans.com/salon-de-musique-gnaoua/",,,
"jlb",,,"Vendredi 9","20h30","Espace Ronsard","Le Lude","7,5 à 11 €","sv","Premices","Cie entite","Hip Hop",,,,,,,,,,,,,,
"tu",,,"Vendredi 9","20h30","L'Austral",,"au chapeau","c",,"midlife","rock lyonnais",,"dj microsillon","funk",,,,,,,,,,,
"tu",,,"Vendredi 9","21h","Le Zoo",,"au chapeau","c",,"Azuryte","folk/pop",,,,,,,,,,,,,,
"tu","Superforma",,"Vendredi 9","20h30","Les Saulnières ",,"11 à 16 €","c",,"JOÃO SELVA","pop funk brazil",,"DOWDELIN","alt caraïbe",,,,,,,,,,,
"zz","Revue de la Flambée du 03 au 25/02",,,,"Salle des concerts",,,"c",,"Essentiel",,,,,,,,,,,,,,,
"ce",,,"Mercredi 14","18h","Blue Zinc",,"tnc","c",,"Carrémans Swing","swing",,,,,,,,,,,,,,
"zz",,,"Vendredi 9","20h30","Salle Aimée Prilleux","Champagné","3 à 10€","sv","Spectacle Hits Live",,"voyage au coeur des comédies musicales",,,,,,,,,,,,,,
"zz",,,"Dimanche 11","16h30","chapiteau du plongeoir",,"5 à 12€","sv","Ball","Groupes Noces","cirque, à partir de 12 ans",,,,,,,,,,,,,,
"zz",,,"Dimanche 11","15h","Le Pâtis",,"à partir de 14€","sv","Au secours on a un bébé",,"pièce comique",,,,,,,,,,,,,,
"tu",,,"Dimanche 11","15h","Les Saulnières ",,"5€/12€","sv","L'Aventure Musicale",,"spectacle musicale, parite des fonds reversée à la ligue contre le cancer",,,,,,,,,,,,,,
"zz",,,"Dimanche 18","16h30","Cité du cirque",,"5 à 12€","sv","Fort","Cie La Meute","cirque, à partir de 10 ans",,,,,,,,,,,,,,
"zz",,,"Dimanche 18","12h","Le Pâtis",,"à partir de 84€","sv","Bang bang",,"repas spectacle",,,,,,,,,,,,,,
"jlb",,,"Dimanche 18","15h00","Le Rabelais","Changé","8 à 10€","sv","Toc Toc","Laurent Baffie","théâtre",,,,,,,,,,,,,,
"jlb",,,"Dimanche 18","17h00","Théâtre du Passeur",,"8 à 10€","sv","GUERRE, et si ça nous arrivait","Cie la Cigale spectacles","théâtre",,,,,,,,,,,,,,
"jlb",,,"Dimanche 4","14h30","Complexe Atlantis","Saint-Cosme-en-Vairais",7 €,"sv","Attention, sac poubelle égaré","Cie du Vair","théâtre",,,,,,,,,,,,,,
"bl",,,"Dimanche 4","16h","Espace culturel L'Orée du Bois","La Chapelle-Saint-Aubin","4/8/10€","sv","Der menschenfresser Berg ou Ode à la montagne ( titre provisoire )","Cie Les Vrais Majors","théâtre",,,,,,,,,,,,,,
"zz",,,"Dimanche 4","15h","Le Pâtis",,"à partir de 14€","sv","Au secours on a un bébé",,"pièce comique",,,,,,,,,,,,,,
"jlb",,,"Dimanche 4","17h45","Théâtre du Passeur",,"5€€","sv","Contes de fées","Rozenn Bodin","Contes",,,,,,,,,,,,,,
"ba",,,"Jeudi 15","20h30","Eve scène universitaire","Le Mans","4 à 10€","sv","L'effet de sol","Cie SuperNovae","Théâtre & Musique",,,,,,,,,,,"https://compagniesupernovae.fr/creation-leffet-de-sol",,,
"zz",,,"Jeudi 22","20h30","chapiteau du plongeoir",,"5 à 12€","sv","Sarabande","Cie Frotter Frapper","cirque et musique",,,,,,,,,,,,,,
"bl",,,"Jeudi 22","20h30","Espace culturel L'Orée du Bois","La Chapelle-Saint-Aubin","4/8/10€","sv","Regarde-moi dans les yeux pendant quatre minutes","Cie Grand Maximum","théâtre",,,,,,,,,,,,,,
"zz",,,"Jeudi 22","20h30","Le Pâtis",,"tnc","sv",,"Simon fache","musique comique",,,,,,,,,,,,,,
"zz",,,"Jeudi 29","20h30","Le Pâtis",,"tnc","sv","Bienvenue à Troulane",,"comédie/chant",,,,,,,,,,,,,,
"ce",,,"Jeudi 8","21h","Blue Zinc",,"au chapeau","sv","Le Set Comedy",,"Humour",,,,,,,,,,,,,,
"ba",,,"Jeudi 8","20h","Centre Culturel Athéna","La Ferté-Bernard","17€/14€/8€","sv","L'école des femmes","Cie Viva","théâtre",,,,,,,,,,,,,,
"zz",,,"Jeudi 8","20h30","chapiteau du plongeoir",,"5 à 12€","sv","Boîte Noire","Cie SCoM","cirque, à partir de 14 ans",,,,,,,,,,,,,,
"zz",,,"Jeudi 8","20h30","Le Pâtis",,"tnc","sv","Boudoir burlesque",,,,,,,,,,,,,,,,
"bl",,,"Jeudi 8","18h","salle Paul Richard","Montfort-le-Gesnois","5 à 10€","sv","Glouglou ou le chant de l'eau","Cie Tafftas","spectacle musical et visuel",,,,,,,,,,,,,,
"jlb",,,"Lundi 12","20h30","Comédie Le Mans",,25 €,"sv","Paris Comédie Club","Lisa Perrio ,David Azencot et Mickael Charles","Stand Up",,,,,,,,,,,,,,
"jlb",,,"Lundi 26","20h30","Comédie Le Mans",,10 €,"sv","Humour en scène 2",,"one man Show et stand up",,,,,,,,,,,,,,
"jlb","Festival des malices au pays",,"Lundi 26","15h","Espace Ronsard","Le Lude",4 €,"sv","Looking For","Spectacle en coproduction pour en enfant","Dès 5 ans",,,,,,,,,,,,,,
"jlb",,,"Lundi 5","20h30","Comédie Le Mans",,10 €,"sv","Impro sans filet",,"Impro",,,,,,,,,,,,,,
"ce",,,"Mardi 13","20h30","Blue Zinc",,"au chapeau","sv","Le Labo du Set",,"Humour",,,,,,,,,,,,,,
"zz",,,"Mardi 13","20h30","Le Pâtis",,"à partir de 14€","sv","Au secours on a un bébé",,"pièce comique",,,,,,,,,,,,,,
"ce",,,"Mardi 20","20h30","Blue Zinc",,"au chapeau","sv","Le Labo du Set",,"humour",,,,,,,,,,,,,,
"zz",,,"Mardi 20","20h30","Le Pâtis",,"à partir de 14€","sv","Au secours on a un bébé",,"pièce comique",,,,,,,,,,,,,,
"ce",,,"Mardi 27","20h30","Blue Zinc",,"au chapeau","sv","Le Labo du Set",,"humour",,,,,,,,,,,,,,
"pl",,,"Mardi 6","19h30","Théâtre de Chaoué","Allonnes","2,5€ à 6€","sv","Vue","Cie Sacékripa","Théâtre d'objet, en famille, jeune public",,,,,,,,,,,,,,
"ce",,,"Mardi 6","20h30","Blue Zinc",,"au chapeau","sv","Le Labo du Set",,"Humour",,,,,,,,,,,,,,
"zz",,,"Mardi 6","19h","chapiteau du plongeoir",,"5 à 12€","sv","Boîte Noire","Cie SCoM","cirque, à partir de 14 ans",,,,,,,,,,,,,,
"bl",,,"Mardi 6","14h30 & 20h30","L'Entracte","Sablé-sur-Sarthe","8/10/13€","sv","Oiseau","La Polka","théâtre",,,,,,,,,,,,,,
"bl",,,"Mardi 6","20h30","Salle Coppélia","La Flèche","7 à 15€","sv","Joueurs","Cie Les Maladroits","théâtre d'objets",,,,,,,,,,,,,,
"tu",,,"Mardi 6","18h30","Théâtre de Chaoué",,4 €,"sv","M𝐮𝐬𝐞́𝐞 𝐝𝐞𝐬 𝐜œ𝐮𝐫𝐬 𝐛𝐫𝐢𝐬𝐞́𝐬","Pierre Bachevillier","M𝐮𝐬𝐞́𝐞 itin𝐞́rant","𝐒𝐜𝐞̀𝐧𝐞𝐬 𝐝𝐞 𝐯𝐢𝐞 𝐜𝐨𝐧𝐣𝐮𝐠𝐚𝐥𝐞","Pierre Bachevillier","th. au casque",,,,,,,,,,,
"tu",,,"Mercredi 14","19h30","La Citadelle Des Anges","Teloché",48 €,"sv","L'ange de l'Amour",,"dîner spectacle",,,,,,,,,,,,,,
"zz",,,"Mercredi 14","19h30","Le Pâtis",,"à partir de 84€","sv","Bang bang",,"repas spectacle saint valentin",,,,,,,,,,,,,,
"tu","Les Bachanales",,"Mercredi 14","23h69","Les Amazones",,"au chapeau","sv",,,"Concerts et dj sex ""jeune public""",,,,,,,,,,,,,,
"zz",,,"Mercredi 14","20h","Véron fleurs",,"5 à 12€","sv","La croûte de l'amour","Cie Defracto","Jonglage",,,,,,,,,,,,,,
"tu",,,"Mercredi 21","21h","Brasserie Septante Deux",,"prix libre","sv",,"QC Comedy","Soirée stand up",,,,,,,,,,,,,,
"ba",,,"Mercredi 21","20h30","Eve scène universitaire","Le Mans","4 à 10€","sv","Ce qui m'excite c'est la beauté extrême","Association Un pas de côté","Théâtre & Musique",,,,,,,,,,,,,,
"zz",,,"Mercredi 21","10h30","L’Éolienne","Arnage","4 à 6€","sv","Chuut",,"lectures bruitées",,,,,,,,,,,,,,
"jlb",,,"Mercredi 21","18 h30","La Piraterie",,"tnc","sv","Éloge de la frustration","La conférence d'Armelle",,,,,,,,,,,,,,,
"zz",,,"Mercredi 21","hnc","Le Pâtis",,"à partir de 14€","sv","Au secours on a un bébé",,"pièce comique",,,,,,,,,,,,,,
"bl",,,"Mercredi 28","15h","Salle des fêtes","Précigné","5/8€","sv","Mioba","Cie Fais pas ci, fais pas ça","conte musical",,,,,,,,,,,,,,
"bl",,,"Mercredi 7","15h","Espace Scélia","Sargé-lès-le-Mans","5 à 7 €","sv","Avec un grand F","Cie Les Gamettes","spectacle jeune public",,,,,,,,,,,,,,
"pl",,,"Mercredi 7","19H30","Théâtre de Chaoué","Allonnes",5 €,"sv","Scènes de la vie conjuguale","Les surfaces de réparation","theâtre (en ecoute au casque audio)",,,,,,,,,,,,,,
"ba",,,"Samedi 10","17h","Centre Culturel Athéna","La Ferté-Bernard",5 €,"sv","Mme Poétique et clownesque : Deux rien","Cie Comme Si","Théâtre dansé",,,,,,,,,,,,,,
"zz",,,"Samedi 10","20h30","chapiteau du plongeoir",,"5 à 12€","sv","Ball","Groupes Noces","cirque, à partir de 12 ans",,,,,,,,,,,,,,
"jlb",,,"Samedi 10","20h30","Espace Henri Salvador","Coulaines"," 15 à 25€","sv","Perlipinpin","Karin Dubernet","One Woman Show",,,,,,,,,,,,,,
"bl",,,"Samedi 10","20h30","Espace Scélia","Sargé-lès-le-Mans","10 à 13€","sv","Match de théâtre d'impro","Tic Tac Impro","théâtre d'impro",,,,,,,,,,,,,,
"zz",,,"Samedi 10","19h30","Le Pâtis",,"à partir de 84€","sv","Bang bang",,"repas spectacle",,,,,,,,,,,,,,
"tu",,,"Samedi 10","18h30","MJC Jacques Prévert",,"au chapeau","sv","Le Set Comedy",,"stand up",,,,,,,,,,,,,,
"tu",,,"Samedi 10","20h30","Quai des Arts","Vibraye",10 €,"sv","Le banc","Les Tréteaux Venitiens","th.",,,,,,,,,,,,,,
"ba","Festival du Livre jeunesse",,"Samedi 17","10h15/11h15/14h15/16h15/17/15","Centre Culturel Athéna","La Ferté-Bernard","Gratuit","sv","Petit Théâtre de papier","Cie Jamais 203","Théâtre",,,,,,,,,,,,,,
"jlb",,,"Samedi 17","19h","Cirque Mimulus","Fresnay-sur-Sarthe","5 à 8 €","sv","In Extremiste","Soirée potage solo trampoline burlesque",,,,,,,,,,,,,,,
"zz",,,"Samedi 17","20h30","Cité du cirque",,"5 à 12€","sv","Fort","Cie La Meute","cirque, à partir de 10 ans",,,,,,,,,,,,,,
"jlb",,,"Samedi 17","20h30","Comédie Le Mans",,25 €,"sv","En roue Libre","Kallagan","One man Show",,,,,,,,,,,,,,
"jlb","Festival des malices au pays",,"Samedi 17","16h30","La Castélorienne","Montval-sur-Loir","Scolaire","sv","Ulysse, L'Illiade, L'Odyssée Et surtout L'Odyssée","Rhapsodies Nomades","théâtre",,,,,,,,,,,,,,
"zz",,,"Samedi 17","19h30","Le Pâtis",,"à partir de 84€","sv","Bang bang",,"repas spectacle",,,,,,,,,,,,,,
"bl","Festival Malices au Pays du Loir",,"Samedi 17","10h & 11h30","Salle Coppélia","La Flèche",4 €,"sv","Dans les jupes de ma mère","Cie Toutito Teatro","th. gestuel et visuel",,,,,,,,,,,,,,
"jlb",,,"Samedi 17","17h00","Salle Polyvalente","Courcemont","tnc","sv","Bal festnoz","Cec and the Fanett","musique",,,,,,,,,,,,,,
"bl",,,"Samedi 17","20h30","salle Vauguélande","Tresson","5 à 10€","sv","Héroïnes","Cie On t'a vu sur la pointe","théâtre d'objets documentaire",,,,,,,,,,,,,,
"jlb",,,"Samedi 17","18h30","Théâtre du Passeur",,"8 à 10€","sv","GUERRE, et si ça nous arrivait","Cie la Cigale spectacles","théâtre",,,,,,,,,,,,,,
"jlb",,,"Samedi 24","21h00","Comédie Le Mans",,25 €,"sv","L'HYPNOSE À TRAVERS LE TEMPS","HERVÉ BARBEREAU ","HYPNOSE",,,,,,,,,,,,,,
"zz",,,"Samedi 24","20h30","Le Courmesnil","Loué","4 à 10€","sv","Le syndrome du banc de touche","Cie le grand Chelem","théâtre",,,,,,,,,,,,,,
"zz",,,"Samedi 24","19h30","Le Pâtis",,"à partir de 84€","sv","Bang bang",,"repas spectacle",,,,,,,,,,,,,,
"jlb",,,"Samedi 3","20h30","Comédie Le Mans",,22 €,"sv","Coco","Kevin Levy","One man Show",,,,,,,,,,,,,,
"jlb",,,"Samedi 3","20h30","Complexe Atlantis","Saint-Cosme-en-Vairais",7 €,"sv","Attention, sac poubelle égaré","Cie du Vair","théâtre",,,,,,,,,,,,,,
"jlb",,,"Samedi 3","20h30","La Castélorienne","Montval-sur-Loir","12 à 28€","sv","La Delicatesse","Cie Miranda, A Mon Tour Prod, Pierrick Quenouille","théâtre",,,,,,,,,,,,,,
"tu","La fièvre du samedi matin","mus. classique","Samedi 3","11h","La Fonderie",,0 €,"sv","Deuxième livre de madrigaux de Martin Moulin","Ensemble Offrandes",,,,,,,,,,,,,,,
"zz",,,"Samedi 3","20h30","La Longère","Coulans-sur-Gée","4 à 10€","sv","Qu'est ce que le théâtre","théatre de l'Ultime","théâtre & humour",,,,,,,,,,,,,,
"zz",,,"Samedi 3","19h30","Le Pâtis",,"à partir de 84€","sv","Bang bang",,"repas spectacle",,,,,,,,,,,,,,
"jlb",,,"Samedi 3","19h15","Théâtre du Passeur",,5 €,"sv","Contes de fées","Rozenn Bodin","Contes",,,,,,,,,,,,,,
"jlb",,,"Vendredi 16","20h30","Comédie Le Mans",,25 €,"sv","Quelqu'un de bien","Romuald Maufras","One man Show",,,,,,,,,,,,,,
"tu",,,"Vendredi 16","20h30","Musée de la Musique Mécanique","Dollon","prix libre","sv","Parole parle d'Amour","Cie Liv","duo rock'n clown, sortie de résidence",,,,,,,,,,,,,,
"zz",,,"Vendredi 2","18h30","Cité du cirque",,0 €,"sv","sortie de résidence","La Sismique Cie","cirque",,,,,,,,,,,,,,
"jlb","20 ème rencontres Choregraphique Maine Saonois",,"Vendredi 2","20h30","Espace Saugonna","Mamers","tnc","sv","Area jeune Ballet",,"danse ",,,,,,,,,,,,,,
