,"festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4","lien1","lien2","lien3","lien4"
"JB",,,"Vendredi 1","20h30","Salle Polyvalente","Champagné","3 à 10€","c",,"choeur Résonnances","gospel swing",,,,,,,"https://www.choeurresonnances72.fr/",,,
"JB","Showcase",,"Vendredi 1","20h30","Unik Music",,"0€ places limitées sur résa","c",,"Sophia Djebel Rose","ch. fr. folk",,,,,,,"https://www.youtube.com/watch?v=JkH78KkjJvo",,,
"AL",,,"Vendredi 1","19h","V&B Antarès",,"0€","c",,"LES HABITS DU DIMANCHE","Sh. fr. swing",,,,,,,"https://www.facebook.com/groupeleshabitsdudimanche",,,
"JB",,,"Vendredi 15","20h","Bières et Chopes",,"0€","c",,"Momentum","Tribute to M",,,,,,,,,,
"JB",,,"Vendredi 15","21h","Chez Marcelle",,"0€","c",,"Logan","techno",,,,,,,,,,
"CE",,,"Vendredi 15","20h30","L'Épicerie sur le Zinc",,"tnc","c",,"Sea's Friend and Friends","folk/country/blues",,,,,,,"https://www.facebook.com/seasfriend/",,,
"JB",,,"Vendredi 15","20h","Le Lapin Blanc",,"0€","c",,"Spilova","jazz manouche",,,,,,,"https://www.spilovaquartet.fr/",,,
"JB",,,"Vendredi 15","21h","Le Zoo",,"au chapeau","c",,"Blues Band Connexion","blues",,,,,,,,,,
"JB",,,"Vendredi 22","21h","Chez Marcelle",,"0€","c",,"Achille","house techno acid",,,,,,,,,,
"CE",,,"Vendredi 22","20h30","L'Épicerie sur le Zinc",,"tnc","sv","Les Candiratons",,"Théâtre d'improvisation",,,,,,,"https://www.facebook.com/LesCandiratons/",,,
"JB","Concerts au profit d’une association humanitaire pour l'Ukraine",,"Vendredi 22","20h","Les Saulnières ",,"au chapeau","c",,"TDM on Stage",,"LEATHER WINGS","rock hard rock 80's",,,,,"https://www.facebook.com/CompagnieTDM","https://www.facebook.com/leatherwingsband",,
"JB",,,"Vendredi 22","20h27","Théâtre de l’Écluse",,"au chapeau","c",,"TÖLE lab.poétique#2","poésie sonore",,,,,,,,,,
"JB","Sortie de résidence",,"Vendredi 22","18h30","Théâtre Paul Scarron",,"0€","sv","Espace Temps - Espace vide ....","Cie O'Koul","solo de danse contemporaine",,,,,,,,,,
"JB","Amicale des jeunes plein.e.s d'avenir","infos : ADJPDA@riseup.net","Vendredi 22","hnc",,,"tnc","c",,"Le dernier calme","DIY political punk","Uhm Katam","rock expé","Silence","noise rock","groupe surprise",,"https://lederniercalme.noblogs.org/","https://uhmkatam.bandcamp.com/releases",,
"JB",,,"Vendredi 29","21h","Chez Marcelle",,"0€","c",,"Sheiten","techno",,,,,,,,,,
"al",,,"Vendredi 29","20h30","Eve scène universitaire",,"0€","sv","Ca ira (1) fin de Louis","Atelier théâtre de l'Université","Th.",,,,,,,,,,
"CE",,,"Vendredi 29","21h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Call Me Daddy","pop/groove/funk",,,,,,,,,,
"JB",,,"Vendredi 29","20h","La pince à vélo","Teloché","au chapeau","c",,"Zouj","soul blues pop cover",,,,,,,"https://www.facebook.com/zoujmusic/",,,
"JB",,,"Vendredi 29","20h","Le Lapin Blanc",,"0€","c",,"Éli' Jazz","jazz swing",,,,,,,,,,
"AL","Au Pays du Môme","jeune public","Vendredi 29","18h45","Le Val’Rhonne","Moncé-en-Belin","4/6€","sv","La toute petite boite de nuits","La Toute Petite Compagnie","Sp. mus. 0-5 ans",,,,,,,"https://fr.calameo.com/read/0064016510cd4c066c9e0?page=1",,,
"AL","40 ans radio Alpa - carte blanche à Vertiges","concerts","Vendredi 29",,"MJC Jacques Prévert",,"0€","c",,"Teenage bed","pop de chambre","Died laughing","spoken word/trip hop","Barbaruss","techno poétique","Nuit gaby","pop indé","https://www.youtube.com/watch?v=zgjpQaTB3ww","https://diedlaughing1.bandcamp.com/","https://www.facebook.com/NuitGaby/",
"BL",,,"Vendredi 29","20H30","Salle Coppélia","La Flèche","7à15€","c",,"Chloé Lacan","ch.fr.",,,,,,,"https://www.chloelacan.fr/",,,
"MG","Europa Jazz","10e nuit du jazz manouche","Vendredi 29","20h30","Salle G. Brassens","Yvré-l'Évêque","11 à 17€","c",,"Simba Baumgartner Trio",,"Hugo Guezbar Electric Trio & Aurore Voilqué Guest",,,,,,"https://www.youtube.com/watch?v=3KeevcBlCkM","https://www.facebook.com/watch/live/?ref=watch_permalink&v=209741993689756",,
"AL",,,"Vendredi 29","20h30","Théâtre de Chaoué","Allonnes","au chapeau","sv","#Je suis Simone","Cie Alcyone","Th. dès 13 ans",,,,,,,"https://www.youtube.com/watch?v=rFVi6rBT3jE",,,
"TU",,,"Vendredi 29","21h","Théâtre de l’Acthalia","Le Mans","15 à 18€","sv","LIBERTÉ ! (avec un point d’exclamation)","Gauthier Fourcade","humour",,,,,,,"https://www.youtube.com/watch?v=PKlbgsjPSgk",,,
"BL",,,"Vendredi 29","20h30","Théâtre Épidaure","Bouloire","5 à 10€","sv","Les Ecoeurchées","Anima Cie","théâtre",,,,,,,"https://www.theatre-contemporain.net/spectacles/les-ecoeurchees/",,,
"AL",,,"Vendredi 8","19h30 et 21h","Bourg","Brains-sur-Gée","4 à 10€","sv","Le Père","Cie jamais 203","Th. dès 13 ans",,,,,,,"https://ciejamais203.com/",,,
"JB","Release Party Rusma","rap","Vendredi 8","20h30","Brasserie Septante Deux",,"0€","c",,"9:35",,"Lyloow",,"Tylan",,"Bif Bif + Guydjinn + Elbi + Rusma",,"https://soundcloud.com/user-136712606",,,
"JB",,,"Vendredi 8","20h","Chapelle de l'Oratoire",,"0€","c",,"Judicaël Perroy et l'ensemble de guitare du Conservatoire",,,,,,,,"https://www.youtube.com/watch?v=tIgRUZiBSig",,,
"JB",,,"Vendredi 8","21h","Chez Marcelle",,"0€","c",,"Laurent Barnier","tekno guinguette",,,,,,,,,,
"CE",,,"Vendredi 8","20h30","L'Épicerie sur le Zinc",,"au chapeau","c",,"Le Duo Barrani","mus.classique entre autres",,,,,,,"https://www.facebook.com/Duo-Barrani-103445448083489/",,,
"MG",,,"Vendredi 8","20h","L’Alambik MJC Ronceray","Le Mans","4/6€","sv","Aux plus adultes que nous","Et alors cie","Th >10 ans",,,,,,,"http://etalors-compagnie.com/creations/aux-plus-adultes-que-nous/",,,
"AL",,,"Vendredi 8","18h30","La Cité du Cirque",,"0€","sv","Ex-ovo","Cie Le Grand Raymond","Cirque en chantier",,,,,,,"https://www.legrandraymond.fr/exovo/",,,
"JB",,,"Vendredi 8","19h30 & 21h","Le bourg","Brains-sur-Gée","4 à 10€","sv","Le Père","Cie Jamais 203","th. dès 13 ans",,,,,,,,,,
"JB",,,"Vendredi 8","20h","Le Lapin Blanc",,"0€","c",,"Syl","blues",,,,,,,"https://www.youtube.com/watch?v=yw-EzfpLUjY",,,
"JB","Kerozen Asso",,"Vendredi 8","20h30","Le Lézard",,"au chapeau ","c",,"Primal Age ","HxC","Leidenfrost","Post-HxC",,,,,"https://www.youtube.com/watch?v=-hK1Ww-ulUc",,,
"JB","Connexions Festival",,"Vendredi 8","20h30","Salle Jean Carmet","Allonnes","7 à 13€","c",,"Ausgang","rap rock électro","TRACY DE SÁ","rap","Drache","rap conscient",,,"https://youtu.be/2pz5UkRLd68","https://youtu.be/_JcVHxeAKpc","https://youtu.be/Qg7NSJXLIR8",
"JB",,,"Vendredi 8","20h30","Théâtre de l’Écluse",,"au chapeau","c",,"Tue-Loup","folk français",,,,,,,"https://www.youtube.com/watch?v=UgJmr4F-pKM",,,
"BL",,,"Vendredi 8","20h30","Théâtre Épidaure","Bouloire","5 à 10€","sv","Black Boy","Théâtre du Mantois","concert spectacle dessiné",,,,,,,"https://www.youtube.com/watch?v=z5CSid-8B8M",,,
